,Ground truth varnodes (decomposed),Varnodes matched @ level=NO_MATCH (decomposed),Varnodes matched @ level=OVERLAP (decomposed),Varnodes matched @ level=SUBSET (decomposed),Varnodes matched @ level=ALIGNED (decomposed),Varnodes matched @ level=MATCH (decomposed),"Varnode average comparison score [0,1] (decomposed)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
ptx,7336,663,821,0,3390,2462,0.7101622137404581,0.9096237731733915,0.3356052344601963
pwd,969,47,142,0,358,422,0.7492260061919505,0.9514963880288958,0.43550051599587203
readlink,1152,49,166,0,414,523,0.7595486111111112,0.9574652777777778,0.4539930555555556
realpath,1057,49,174,0,415,419,0.7320245979186376,0.9536423841059603,0.39640491958372753
rm,1276,66,183,0,517,510,0.7394200626959248,0.9482758620689655,0.3996865203761755
rmdir,3076,47,178,0,2412,439,0.7452860858257477,0.9847204161248374,0.14271781534460337
runcon,844,47,145,0,347,305,0.7126777251184834,0.9443127962085308,0.3613744075829384
seq,1136,47,191,0,458,440,0.7317341549295775,0.9586267605633803,0.3873239436619718
sha1sum,1178,63,247,0,502,366,0.6827249575551783,0.9465195246179966,0.31069609507640067
sha224sum,1315,63,360,0,521,371,0.6477186311787072,0.9520912547528517,0.28212927756653994
sha256sum,1323,63,360,0,529,371,0.6483371126228269,0.9523809523809523,0.2804232804232804
sha384sum,1599,143,296,0,789,371,0.6483739837398373,0.9105691056910569,0.2320200125078174
sha512sum,1631,143,296,0,821,371,0.6503678724708768,0.9123237277743715,0.22746781115879827
shred,3337,112,231,0,1871,1123,0.7743482169613425,0.9664369193886725,0.33652981720107883
shuf,1168,47,160,0,496,465,0.7508561643835616,0.9597602739726028,0.3981164383561644
sleep,855,47,127,0,358,323,0.7289473684210527,0.9450292397660819,0.37777777777777777
sort,11845,269,574,0,2293,8709,0.8925495989869143,0.9772899957788096,0.7352469396369776
split,1533,379,237,0,490,427,0.556914546640574,0.7527723418134377,0.2785388127853881
stat,3141,225,310,0,785,1821,0.7918656478828399,0.9283667621776505,0.5797516714422158
stdbuf,2142,47,187,0,1449,459,0.7434640522875817,0.9780578898225957,0.21428571428571427
stty,1868,53,697,0,662,456,0.6031852248394004,0.971627408993576,0.24411134903640258
sum,2368,63,143,0,1778,384,0.7403927364864865,0.9733952702702703,0.16216216216216217
sync,847,47,133,0,357,310,0.7213695395513577,0.9445100354191264,0.3659976387249115
tac,13744,455,556,0,10460,2273,0.7462892898719441,0.9668946449359721,0.16538125727590222
tail,34216,68,203,0,33300,645,0.7502557283142389,0.9980126256722002,0.018850830021042788
tee,9070,47,146,0,8561,316,0.7467750826901874,0.9948180815876516,0.03484013230429989
test,1126,0,152,0,472,502,0.7939609236234458,1.0,0.44582593250444047
timeout,1334,362,147,0,381,444,0.5745877061469266,0.7286356821589205,0.3328335832083958
touch,7107,313,733,0,4095,1966,0.7345574785422823,0.95595891374701,0.2766286759532855
tr,10204,50,424,0,9354,376,0.7347608780870247,0.9950999607996864,0.03684829478635829
true,801,47,113,0,338,303,0.7300249687890137,0.9413233458177278,0.3782771535580524
truncate,902,47,141,0,355,359,0.7322616407982262,0.9478935698447893,0.39800443458980045
tsort,876,47,132,0,373,324,0.7268835616438356,0.9463470319634704,0.3698630136986301
tty,825,47,133,0,341,304,0.7187878787878788,0.943030303030303,0.36848484848484847
uname,1274,55,181,0,343,695,0.782967032967033,0.956828885400314,0.5455259026687598
unexpand,874,47,139,0,364,324,0.7228260869565217,0.9462242562929062,0.3707093821510298
uniq,962,47,184,0,389,342,0.7066008316008316,0.9511434511434511,0.35550935550935553
unlink,826,47,125,0,347,307,0.7245762711864406,0.9430992736077481,0.37167070217917675
uptime,10379,49,184,0,514,9632,0.9696020811253492,0.9952789286058387,0.9280277483379902
users,842,47,125,0,357,313,0.7268408551068883,0.9441805225653207,0.37173396674584325
vdir,39265,4924,745,0,19731,13865,0.7347383165669171,0.8745956959123902,0.353113459824271
wc,33888,87,164,0,33168,469,0.7491147308781869,0.9974327195467422,0.013839707271010387
who,1577,47,243,0,505,782,0.774571972098922,0.9701965757767914,0.49587824984147116
whoami,829,47,125,0,350,307,0.7246682750301568,0.9433051869722557,0.3703256936067551
yes,841,47,125,0,356,313,0.7268133174791914,0.9441141498216409,0.37217598097502974
