,Ground truth varnodes (metatype=POINTER),Decompiler varnodes matched @ level=NO_MATCH (metatype=POINTER),Decompiler varnodes matched @ level=OVERLAP (metatype=POINTER),Decompiler varnodes matched @ level=SUBSET (metatype=POINTER),Decompiler varnodes matched @ level=ALIGNED (metatype=POINTER),Decompiler varnodes matched @ level=MATCH (metatype=POINTER),"Varnode average compare score [0,1] (metatype=POINTER)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
sort,299,0,0,0,181,118,0.8486622073578596,1.0,0.39464882943143814
split,69,0,0,0,41,28,0.8514492753623188,1.0,0.4057971014492754
stat,150,0,0,0,74,76,0.8766666666666667,1.0,0.5066666666666667
stdbuf,79,0,0,0,40,39,0.8734177215189873,1.0,0.4936708860759494
stty,73,0,0,0,39,34,0.8664383561643836,1.0,0.4657534246575342
sum,60,0,0,0,33,27,0.8625,1.0,0.45
sync,29,0,0,0,21,8,0.8189655172413793,1.0,0.27586206896551724
tac,250,6,0,0,184,60,0.792,0.976,0.24
tail,124,0,1,0,65,58,0.8629032258064516,1.0,0.46774193548387094
tee,35,0,0,0,25,10,0.8214285714285714,1.0,0.2857142857142857
test,67,0,0,0,38,29,0.8582089552238806,1.0,0.43283582089552236
timeout,41,0,0,0,23,18,0.8597560975609756,1.0,0.43902439024390244
touch,110,0,0,0,53,57,0.8795454545454545,1.0,0.5181818181818182
tr,58,0,0,0,39,19,0.8318965517241379,1.0,0.3275862068965517
true,28,0,0,0,20,8,0.8214285714285714,1.0,0.2857142857142857
truncate,32,0,0,0,22,10,0.828125,1.0,0.3125
tsort,52,0,0,0,35,17,0.8317307692307693,1.0,0.3269230769230769
tty,29,0,0,0,20,9,0.8275862068965517,1.0,0.3103448275862069
uname,30,0,0,0,22,8,0.8166666666666667,1.0,0.26666666666666666
unexpand,36,0,0,0,25,11,0.8263888888888888,1.0,0.3055555555555556
uniq,50,0,0,0,30,20,0.85,1.0,0.4
unlink,29,0,0,0,21,8,0.8189655172413793,1.0,0.27586206896551724
uptime,57,0,0,0,37,20,0.8377192982456141,1.0,0.3508771929824561
users,38,0,0,0,28,10,0.8157894736842105,1.0,0.2631578947368421
vdir,293,0,0,0,173,120,0.8523890784982935,1.0,0.40955631399317405
wc,84,0,0,0,52,32,0.8452380952380952,1.0,0.38095238095238093
who,83,0,0,0,44,39,0.8674698795180723,1.0,0.46987951807228917
whoami,30,0,0,0,22,8,0.8166666666666667,1.0,0.26666666666666666
yes,34,0,0,0,24,10,0.8235294117647058,1.0,0.29411764705882354
