,Ground truth varnodes (metatype=ARRAY),Array comparisons,Array varnodes inferred as array,Array varnodes inferred as array fraction,Array length (elements) average error,Array length (elements) average error ratio,Array size (bytes) average error,Array size (bytes) average error ratio,"Array dimension match score [0,1]","Array average element type comparison score [0,1]"
tsort,13,13,13,1.0,0.0,0.0,0.0,0.0,1.0,1.0
tty,10,10,10,1.0,0.0,0.0,0.0,0.0,1.0,1.0
uname,12,13,12,1.0,0.0,0.0,0.0,0.0,1.0,1.0
unexpand,11,11,11,1.0,0.0,0.0,0.0,0.0,1.0,1.0
uniq,15,15,15,1.0,0.0,0.0,0.0,0.0,1.0,1.0
unlink,12,12,12,1.0,0.0,0.0,0.0,0.0,1.0,1.0
uptime,18,19,18,1.0,53.47368421052632,0.0522203947368421,53.47368421052632,0.0522203947368421,1.0,1.0
users,12,12,12,1.0,0.0,0.0,0.0,0.0,1.0,1.0
vdir,71,75,71,1.0,47.2,0.8403067788976532,47.2,0.8403067788976532,1.0,1.0
wc,16,18,16,1.0,0.0,0.0,0.0,0.0,1.0,1.0
who,25,29,25,1.0,0.0,0.0,0.0,0.0,1.0,1.0
whoami,12,12,12,1.0,0.0,0.0,0.0,0.0,1.0,1.0
yes,12,12,12,1.0,0.0,0.0,0.0,0.0,1.0,1.0
