,Ground truth varnodes (metatype=INT),Decompiler varnodes matched @ level=NO_MATCH (metatype=INT),Decompiler varnodes matched @ level=OVERLAP (metatype=INT),Decompiler varnodes matched @ level=SUBSET (metatype=INT),Decompiler varnodes matched @ level=ALIGNED (metatype=INT),Decompiler varnodes matched @ level=MATCH (metatype=INT),"Varnode average compare score [0,1] (metatype=INT)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
mktemp,96,0,0,0,60,36,0.84375,1.0,0.375
mv,428,0,0,0,241,187,0.8592289719626168,1.0,0.4369158878504673
nice,77,0,0,0,47,30,0.8474025974025974,1.0,0.38961038961038963
nl,571,0,1,0,294,276,0.8699649737302977,1.0,0.48336252189141854
nohup,99,0,0,0,71,28,0.8207070707070707,1.0,0.2828282828282828
nproc,86,0,0,0,51,35,0.8517441860465116,1.0,0.4069767441860465
numfmt,184,0,0,0,98,86,0.8668478260869565,1.0,0.4673913043478261
od,294,0,1,0,146,147,0.8732993197278912,1.0,0.5
paste,85,0,0,0,55,30,0.8382352941176471,1.0,0.35294117647058826
pathchk,85,0,0,0,57,28,0.8323529411764706,1.0,0.32941176470588235
pinky,96,0,0,0,65,31,0.8307291666666666,1.0,0.3229166666666667
pr,399,0,1,0,262,136,0.8339598997493735,1.0,0.3408521303258145
printenv,68,0,0,0,42,26,0.8455882352941176,1.0,0.38235294117647056
printf,168,0,2,0,85,81,0.8645833333333334,1.0,0.48214285714285715
ptx,686,0,1,0,353,332,0.8702623906705539,1.0,0.4839650145772595
pwd,75,0,0,0,50,25,0.8333333333333334,1.0,0.3333333333333333
readlink,112,0,0,0,69,43,0.8459821428571429,1.0,0.38392857142857145
realpath,112,0,0,0,65,47,0.8549107142857143,1.0,0.41964285714285715
rm,185,0,0,0,115,70,0.8445945945945946,1.0,0.3783783783783784
rmdir,139,0,0,0,73,66,0.8687050359712231,1.0,0.4748201438848921
runcon,65,0,0,0,42,23,0.8384615384615385,1.0,0.35384615384615387
seq,156,0,0,0,81,75,0.8701923076923077,1.0,0.4807692307692308
sha1sum,138,0,0,0,78,60,0.8586956521739131,1.0,0.43478260869565216
sha224sum,145,0,0,0,80,65,0.8620689655172413,1.0,0.4482758620689655
sha256sum,145,0,0,0,80,65,0.8620689655172413,1.0,0.4482758620689655
sha384sum,301,0,0,0,236,65,0.8039867109634552,1.0,0.2159468438538206
sha512sum,301,0,0,0,236,65,0.8039867109634552,1.0,0.2159468438538206
shred,238,0,0,0,140,98,0.8529411764705882,1.0,0.4117647058823529
shuf,210,0,0,0,129,81,0.8464285714285714,1.0,0.38571428571428573
sleep,76,0,0,0,49,27,0.8388157894736842,1.0,0.35526315789473684
sort,440,0,0,0,260,180,0.8522727272727273,1.0,0.4090909090909091
split,195,0,0,0,109,86,0.8602564102564103,1.0,0.441025641025641
stat,392,0,1,0,237,154,0.8469387755102041,1.0,0.39285714285714285
stdbuf,156,0,0,0,80,76,0.8717948717948718,1.0,0.48717948717948717
stty,189,0,1,0,89,99,0.8783068783068783,1.0,0.5238095238095238
sum,183,0,0,0,99,84,0.8647540983606558,1.0,0.45901639344262296
sync,83,0,0,0,54,29,0.8373493975903614,1.0,0.3493975903614458
tac,597,0,1,0,316,280,0.8664154103852596,1.0,0.46901172529313234
tail,239,0,0,0,141,98,0.852510460251046,1.0,0.4100418410041841
tee,95,0,0,0,62,33,0.8368421052631579,1.0,0.3473684210526316
test,155,0,0,0,83,72,0.8661290322580645,1.0,0.4645161290322581
timeout,95,0,0,0,55,40,0.8552631578947368,1.0,0.42105263157894735
touch,396,0,9,0,244,143,0.8289141414141414,1.0,0.3611111111111111
tr,153,0,0,0,70,83,0.8856209150326797,1.0,0.5424836601307189
true,62,0,0,0,40,22,0.8387096774193549,1.0,0.3548387096774194
truncate,91,0,0,0,55,36,0.8489010989010989,1.0,0.3956043956043956
tsort,85,0,0,0,55,30,0.8382352941176471,1.0,0.35294117647058826
tty,65,0,0,0,43,22,0.8346153846153846,1.0,0.3384615384615385
uname,67,0,0,0,43,24,0.8395522388059702,1.0,0.3582089552238806
unexpand,101,0,0,0,61,40,0.849009900990099,1.0,0.39603960396039606
uniq,125,0,0,0,79,46,0.842,1.0,0.368
unlink,66,0,0,0,44,22,0.8333333333333334,1.0,0.3333333333333333
uptime,261,0,1,0,174,86,0.8304597701149425,1.0,0.32950191570881227
users,73,0,0,0,47,26,0.839041095890411,1.0,0.3561643835616438
vdir,616,0,3,0,368,245,0.8469967532467533,1.0,0.3977272727272727
wc,148,0,0,0,90,58,0.847972972972973,1.0,0.3918918918918919
who,158,0,0,0,90,68,0.8575949367088608,1.0,0.43037974683544306
whoami,68,0,0,0,46,22,0.8308823529411765,1.0,0.3235294117647059
yes,76,0,0,0,50,26,0.8355263157894737,1.0,0.34210526315789475
