,Ground truth varnodes (metatype=ARRAY),Array comparisons,Array varnodes inferred as array,Array varnodes inferred as array fraction,Array length (elements) average error,Array length (elements) average error ratio,Array size (bytes) average error,Array size (bytes) average error ratio,"Array dimension match score [0,1]","Array average element type comparison score [0,1]"
nice,10,3,3,0.3,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
nl,36,19,17,0.4722222222222222,148.57894736842104,0.6196181666624002,434.05263157894734,0.1514849429781896,0.9473684210526316,0.7719298245614036
nohup,13,3,3,0.2307692307692307,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
nproc,10,3,3,0.3,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
numfmt,20,5,5,0.25,12.6,0.1848224708171206,5.4,0.0504474708171206,1.0,0.8666666666666667
od,40,12,12,0.3,3.9166666666666665,0.1464908360486916,5.666666666666667,0.1464908360486916,1.0,0.7777777777777778
paste,10,3,3,0.3,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
pathchk,10,3,3,0.3,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
pinky,17,8,8,0.4705882352941176,33.5,0.915999305626664,34.375,0.915999305626664,1.0,0.8333333333333334
pr,20,10,9,0.45,103.5,0.1920253011435499,104.2,0.1920253011435499,1.0,0.9333333333333332
printenv,10,3,3,0.3,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
printf,17,8,8,0.4705882352941176,27.75,0.1846663880107004,28.625,0.1846663880107004,1.0,0.9166666666666666
ptx,39,20,18,0.4615384615384615,141.3,0.5957801154721373,412.5,0.1510535529721373,0.95,0.7833333333333333
pwd,10,3,3,0.3,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
readlink,12,4,4,0.3333333333333333,4.0,0.0474343385214007,5.75,0.0474343385214007,1.0,0.9166666666666666
realpath,11,3,3,0.2727272727272727,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
rm,15,3,3,0.2,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
rmdir,14,5,5,0.3571428571428571,3.2,0.0262474708171206,4.6,0.0262474708171206,1.0,0.8666666666666667
runcon,10,3,3,0.3,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
seq,15,4,4,0.2666666666666666,2.0,0.0318093385214007,3.75,0.0318093385214007,1.0,0.9166666666666666
sha1sum,16,6,6,0.375,3.333333333333333,0.1462062256809338,10.5,0.1462062256809338,1.0,0.8333333333333334
sha224sum,17,6,6,0.3529411764705882,6.0,0.2295395590142671,13.166666666666666,0.2295395590142671,1.0,0.8333333333333334
sha256sum,17,6,6,0.3529411764705882,4.666666666666667,0.1832432627179709,11.833333333333334,0.1832432627179709,1.0,0.8333333333333334
sha384sum,17,6,6,0.3529411764705882,3.333333333333333,0.1462062256809338,18.5,0.1462062256809338,1.0,0.8333333333333334
sha512sum,17,6,6,0.3529411764705882,3.333333333333333,0.1462062256809338,18.5,0.1462062256809338,1.0,0.8333333333333334
shred,27,10,10,0.3703703703703703,68.6,3.1142813478295577,69.3,3.1142813478295577,1.0,0.7999999999999999
shuf,12,4,4,0.3333333333333333,2.0,0.0318093385214007,3.75,0.0318093385214007,1.0,0.9166666666666666
sleep,12,3,3,0.25,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
sort,46,12,11,0.2391304347826087,5.916666666666667,0.2990188834497859,7.833333333333333,0.2156855501164526,0.8333333333333334,0.7777777777777778
split,18,6,6,0.3333333333333333,3.1666666666666665,0.1126849224227884,4.333333333333333,0.1126849224227884,1.0,0.8333333333333334
stat,32,10,9,0.28125,103.9,0.1968260257812311,104.6,0.1968260257812311,1.0,0.9333333333333332
stdbuf,16,5,5,0.3125,3.2,0.0270099708171206,4.6,0.0270099708171206,1.0,0.8666666666666667
stty,19,5,5,0.2631578947368421,2.0,0.1254474708171206,4.6,0.1254474708171206,1.0,0.8666666666666667
sum,22,8,8,0.3636363636363636,5.875,0.0662376035716385,6.75,0.0662376035716385,1.0,0.75
sync,11,3,3,0.2727272727272727,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
tac,33,19,17,0.5151515151515151,148.57894736842104,0.6196181666624002,434.05263157894734,0.1514849429781896,0.9473684210526316,0.7719298245614036
tail,20,8,8,0.4,5.5,0.0342653521569057,6.375,0.0342653521569057,1.0,0.75
tee,14,4,4,0.2857142857142857,4.0,0.0320534791464007,5.75,0.0320534791464007,1.0,0.8333333333333334
test,12,5,5,0.4166666666666667,4.2,0.1387808041504539,4.2,0.1387808041504539,1.0,0.8666666666666667
timeout,13,5,5,0.3846153846153846,3.6,0.1307106287118574,5.0,0.1307106287118574,1.0,0.8666666666666667
touch,56,23,22,0.3928571428571428,59.08695652173913,0.6183516652234936,54.17391304347826,0.3574821000061023,1.0,0.8260869565217391
tr,17,4,4,0.2352941176470588,57.75,0.2495827760214007,5.75,0.0396218385214007,1.0,0.8333333333333334
true,9,3,3,0.3333333333333333,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
truncate,10,3,3,0.3,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
tsort,13,4,4,0.3076923076923077,11.0,2.2818093385214007,5.75,0.0943093385214007,1.0,0.8333333333333334
tty,10,3,3,0.3,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
uname,12,3,3,0.25,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
unexpand,11,3,3,0.2727272727272727,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
uniq,15,4,4,0.2666666666666666,2.25,0.1568093385214007,5.75,0.1568093385214007,1.0,0.9166666666666666
unlink,12,3,3,0.25,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
uptime,18,8,7,0.3888888888888889,129.5,0.220484959681896,130.375,0.220484959681896,1.0,0.9583333333333334
users,12,3,3,0.25,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
vdir,71,32,31,0.4366197183098591,156.6875,5.807217391967743,156.90625,5.807217391967743,0.96875,0.78125
wc,16,6,6,0.375,5455.5,0.3778608313742945,5456.666666666667,0.3778608313742945,1.0,0.8888888888888888
who,25,13,13,0.52,1.6153846153846154,0.0240284188471778,2.1538461538461537,0.0240284188471778,1.0,0.9487179487179488
whoami,12,3,3,0.25,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
yes,12,3,3,0.25,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
