,Ground truth varnodes (decomposed),Varnodes matched @ level=NO_MATCH (decomposed),Varnodes matched @ level=OVERLAP (decomposed),Varnodes matched @ level=SUBSET (decomposed),Varnodes matched @ level=ALIGNED (decomposed),Varnodes matched @ level=MATCH (decomposed),"Varnode average comparison score [0,1] (decomposed)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
df,3575,514,189,0,1764,1108,0.6932167832167833,0.8562237762237762,0.30993006993006994
dir,39259,9090,178,0,16150,13841,0.6622175806821365,0.7684607351180621,0.35255610178557784
dircolors,5810,5258,77,0,140,335,0.0790447504302926,0.09500860585197934,0.0576592082616179
dirname,832,352,74,0,94,312,0.4819711538461538,0.5769230769230769,0.375
du,8012,1042,558,0,2843,3569,0.7290002496255616,0.8699450823764353,0.4454568147778333
echo,810,335,74,0,92,309,0.4895061728395061,0.5864197530864198,0.3814814814814815
env,1464,751,74,0,218,421,0.4118852459016393,0.4870218579234973,0.287568306010929
expand,898,390,74,0,113,321,0.4724387527839643,0.5657015590200446,0.3574610244988864
expr,5706,930,472,0,2017,2287,0.6866018226428321,0.8370136698212408,0.40080616894497023
factor,4701,3420,335,0,263,683,0.2050627526058285,0.2724952137843012,0.14528823654541587
false,801,335,74,0,87,305,0.485330836454432,0.581772784019975,0.3807740324594257
fmt,15915,15374,74,0,132,335,0.0284322965755576,0.03399308828149544,0.021049324536600692
fold,893,394,74,0,101,324,0.4683650615901455,0.5587905935050392,0.3628219484882419
groups,865,368,74,0,101,322,0.4812138728323699,0.5745664739884393,0.3722543352601156
head,33790,392,97,0,24757,8544,0.8030778336786032,0.9883989345960343,0.2528558745190885
hostid,827,347,74,0,97,309,0.4839782345828295,0.5804111245465539,0.373639661426844
id,1007,438,74,0,144,351,0.4741807348560079,0.5650446871896723,0.3485600794438927
join,1004,381,76,0,178,369,0.5194223107569721,0.6205179282868526,0.36752988047808766
kill,1325,787,74,0,119,345,0.3416981132075471,0.4060377358490566,0.26037735849056604
link,826,347,74,0,96,309,0.4836561743341404,0.5799031476997578,0.37409200968523004
ln,1991,604,142,0,263,982,0.6101205424409845,0.6966348568558514,0.4932194876946258
logname,827,347,74,0,97,309,0.4839782345828295,0.5804111245465539,0.373639661426844
ls,39259,9090,178,0,16150,13841,0.6622175806821365,0.7684607351180621,0.35255610178557784
md5sum,1170,467,154,0,199,350,0.4596153846153846,0.6008547008547008,0.29914529914529914
mkdir,3260,449,118,0,2208,485,0.6657975460122699,0.8622699386503068,0.14877300613496933
mkfifo,938,404,80,0,108,346,0.476545842217484,0.5692963752665245,0.36886993603411516
mknod,955,404,80,0,111,360,0.4850785340314136,0.5769633507853403,0.3769633507853403
mktemp,971,432,94,0,115,330,0.4528836251287332,0.5550978372811535,0.33985581874356335
mv,4056,1781,270,0,538,1467,0.4778106508875739,0.5608974358974359,0.36168639053254437
nice,837,351,74,0,94,318,0.4862604540023895,0.5806451612903226,0.37992831541218636
nl,6094,1656,453,0,1721,2264,0.601903511650804,0.7282573022645225,0.37151296357072533
nohup,874,347,74,0,134,319,0.5011441647597255,0.602974828375286,0.36498855835240274
nproc,865,355,76,0,96,338,0.4959537572254335,0.5895953757225434,0.39075144508670523
numfmt,1280,447,142,0,163,528,0.5357421875,0.65078125,0.4125
od,11965,698,117,0,10606,544,0.7127246134559131,0.9416631842875052,0.04546594233180109
paste,857,359,74,0,106,318,0.485414235705951,0.5810968494749125,0.3710618436406068
pathchk,869,353,96,0,107,313,0.4801495972382048,0.5937859608745685,0.36018411967779057
pinky,3335,425,81,0,2212,617,0.6885307346326837,0.8725637181409296,0.18500749625187407
pr,2854,529,138,0,397,1790,0.7436054660126139,0.8146461107217939,0.6271899088997898
printenv,826,351,74,0,89,312,0.4809322033898305,0.5750605326876513,0.37772397094430993
printf,3369,518,120,0,2194,537,0.6567230632235085,0.8462451766102701,0.15939447907390916
ptx,7315,2390,623,0,1869,2433,0.5455228981544771,0.6732740943267259,0.33260423786739574
pwd,969,445,80,0,109,335,0.4507223942208462,0.5407636738906089,0.3457172342621259
readlink,1146,386,99,0,162,499,0.5630453752181501,0.6631762652705061,0.4354275741710297
realpath,1051,410,102,0,163,376,0.4983349191246431,0.609895337773549,0.3577545195052331
rm,1276,457,121,0,268,430,0.5182210031347962,0.6418495297805643,0.33699059561128525
rmdir,3076,386,107,0,2161,422,0.6727893368010404,0.8745123537061118,0.13719115734720416
runcon,844,367,74,0,96,307,0.4709715639810427,0.5651658767772512,0.3637440758293839
seq,1136,396,121,0,174,445,0.5332306338028169,0.6514084507042254,0.39172535211267606
sha1sum,1178,467,158,0,185,368,0.4637096774193548,0.6035653650254669,0.31239388794567063
sha224sum,1315,531,205,0,206,373,0.4401140684410646,0.5961977186311787,0.28365019011406845
sha256sum,1323,531,205,0,214,373,0.4419879062736205,0.5986394557823129,0.2819349962207105
sha384sum,1599,611,205,0,410,373,0.4576297686053783,0.6178861788617886,0.233270794246404
sha512sum,1631,611,205,0,442,373,0.4633660331085223,0.6253832004904967,0.2286940527283875
shred,3337,562,90,0,1614,1071,0.6904405154330236,0.83158525621816,0.3209469583458196
shuf,1168,406,90,0,243,429,0.5425941780821918,0.6523972602739726,0.3672945205479452
sleep,855,347,76,0,107,325,0.4961988304093567,0.5941520467836258,0.38011695906432746
sort,11845,2147,336,0,686,8676,0.7829886027859857,0.8187420852680456,0.7324609539890249
split,1533,780,80,0,242,431,0.4125896934116112,0.4911937377690802,0.2811480756686236
stat,3141,741,189,0,416,1795,0.6858484559057625,0.7640878701050621,0.571474052849411
stdbuf,2142,375,124,0,1200,443,0.6414565826330533,0.8249299719887955,0.20681605975723621
stty,1868,1102,108,0,197,461,0.3403372591006424,0.4100642398286938,0.2467880085653105
sum,2368,382,79,0,1518,389,0.6533994932432432,0.8386824324324325,0.16427364864864866
sync,847,355,74,0,106,312,0.4840613931523022,0.5808736717827627,0.36835891381345925
tac,13723,9252,453,0,1756,2262,0.2690556000874444,0.32580339575894485,0.16483276251548495
tail,34216,566,120,0,33048,482,0.7393617021276596,0.9834580313303718,0.014086976852934299
tee,9070,367,74,0,8310,319,0.7243660418963617,0.9595369349503858,0.03517089305402426
test,1126,344,129,0,221,432,0.5595026642984015,0.69449378330373,0.3836589698046181
timeout,1334,682,76,0,130,446,0.421664167916042,0.48875562218890556,0.3343328335832084
touch,7107,2125,214,0,2824,1944,0.5790769663711833,0.700999015055579,0.27353313634444915
tr,10204,9337,345,0,143,379,0.0561054488435907,0.08496667973343787,0.037142297138377106
true,801,335,74,0,87,305,0.485330836454432,0.581772784019975,0.3807740324594257
truncate,902,384,90,0,104,324,0.4706208425720621,0.5742793791574279,0.35920177383592017
tsort,876,347,83,0,120,326,0.4985730593607306,0.6038812785388128,0.3721461187214612
tty,825,355,76,0,88,306,0.4739393939393939,0.5696969696969697,0.3709090909090909
uname,1274,410,74,0,92,698,0.6165620094191523,0.6781789638932496,0.5478806907378336
unexpand,874,360,74,0,113,327,0.4922768878718535,0.5881006864988558,0.37414187643020597
uniq,962,401,77,0,138,346,0.4872661122661123,0.5831600831600832,0.3596673596673597
unlink,826,347,74,0,96,309,0.4836561743341404,0.5799031476997578,0.37409200968523004
uptime,10379,380,109,0,256,9634,0.9493448309085654,0.9633876095963002,0.9282204451295886
users,842,347,74,0,106,315,0.4904988123515439,0.5878859857482185,0.37410926365795727
vdir,39259,9090,178,0,16150,13841,0.6622175806821365,0.7684607351180621,0.35255610178557784
wc,33888,444,75,0,32916,453,0.7424088172804533,0.9868980169971672,0.01336756373937677
who,1577,472,119,0,221,765,0.6090678503487634,0.7006975269499048,0.4850982878883957
whoami,829,347,74,0,99,309,0.4846200241254523,0.5814234016887817,0.37273823884197826
yes,841,347,74,0,105,315,0.4901902497027348,0.5873959571938169,0.3745541022592152
