,Ground truth varnodes,Varnodes matched @ level NO_MATCH,Varnodes matched @ level OVERLAP,Varnodes matched @ level SUBSET,Varnodes matched @ level ALIGNED,Varnodes matched @ level MATCH,Varnode average compare score,Varnodes fraction partially recovered,Varnodes fraction exactly recovered
mknod,105,0,30,0,49,26,0.669047619047619,1.0,0.24761904761904763
mktemp,117,0,39,0,48,30,0.6474358974358975,1.0,0.2564102564102564
mv,379,5,64,0,207,103,0.7236147757255936,0.9868073878627969,0.2717678100263852
nice,95,0,28,0,40,27,0.6736842105263158,1.0,0.28421052631578947
nl,1404,10,320,0,991,83,0.645477207977208,0.9928774928774928,0.05911680911680912
nohup,106,0,26,0,50,30,0.6981132075471698,1.0,0.2830188679245283
nproc,96,0,30,0,40,26,0.6614583333333334,1.0,0.2708333333333333
numfmt,184,0,80,0,56,48,0.5978260869565217,1.0,0.2608695652173913
od,226,0,49,0,62,115,0.7688053097345132,1.0,0.5088495575221239
paste,103,0,32,0,44,27,0.6601941747572816,1.0,0.2621359223300971
pathchk,95,0,28,0,43,24,0.6657894736842105,1.0,0.25263157894736843
pinky,120,0,29,0,58,33,0.6979166666666666,1.0,0.275
pr,218,1,75,0,88,54,0.6364678899082569,0.9954128440366973,0.24770642201834864
printenv,93,0,28,0,40,25,0.6666666666666666,1.0,0.26881720430107525
printf,178,0,21,0,60,97,0.827247191011236,1.0,0.5449438202247191
ptx,1540,10,347,0,1043,140,0.6551948051948052,0.9935064935064936,0.09090909090909091
pwd,105,0,30,0,50,25,0.6666666666666666,1.0,0.23809523809523808
readlink,187,0,43,0,78,66,0.7232620320855615,1.0,0.35294117647058826
realpath,196,0,47,0,83,66,0.7142857142857143,1.0,0.336734693877551
rm,236,2,51,0,122,61,0.7002118644067796,0.9915254237288136,0.2584745762711864
rmdir,180,0,34,0,55,91,0.7819444444444444,1.0,0.5055555555555555
runcon,106,0,36,0,47,23,0.6344339622641509,1.0,0.2169811320754717
seq,193,0,32,0,59,102,0.7992227979274611,1.0,0.5284974093264249
sha1sum,131,0,46,0,54,31,0.6335877862595419,1.0,0.2366412213740458
sha224sum,132,0,46,0,55,31,0.634469696969697,1.0,0.23484848484848486
sha256sum,132,0,46,0,55,31,0.634469696969697,1.0,0.23484848484848486
sha384sum,132,0,46,0,55,31,0.634469696969697,1.0,0.23484848484848486
sha512sum,132,0,46,0,55,31,0.634469696969697,1.0,0.23484848484848486
shred,174,0,49,0,79,46,0.6752873563218391,1.0,0.26436781609195403
shuf,218,0,41,0,100,77,0.7442660550458715,1.0,0.3532110091743119
sleep,99,0,26,0,43,30,0.6944444444444444,1.0,0.30303030303030304
sort,492,17,113,0,219,143,0.681910569105691,0.9654471544715447,0.29065040650406504
split,162,0,55,0,64,43,0.6466049382716049,1.0,0.2654320987654321
stat,286,1,44,0,102,139,0.791958041958042,0.9965034965034965,0.486013986013986
stdbuf,201,0,39,0,61,101,0.7786069651741293,1.0,0.5024875621890548
stty,331,0,176,0,61,94,0.5551359516616314,1.0,0.283987915407855
sum,131,0,35,0,55,41,0.6946564885496184,1.0,0.31297709923664124
sync,95,0,30,0,43,22,0.65,1.0,0.23157894736842105
tac,1390,10,301,0,1003,76,0.65,0.9928057553956835,0.05467625899280575
tail,225,0,57,0,89,79,0.7111111111111111,1.0,0.3511111111111111
tee,108,0,37,0,47,24,0.6342592592592593,1.0,0.2222222222222222
test,157,0,20,0,49,88,0.8264331210191083,1.0,0.5605095541401274
timeout,113,0,36,0,43,34,0.665929203539823,1.0,0.3008849557522124
touch,391,5,183,0,77,126,0.5869565217391305,0.9872122762148338,0.32225063938618925
tr,146,0,54,0,59,33,0.6215753424657534,1.0,0.22602739726027396
true,82,0,20,0,40,22,0.6951219512195121,1.0,0.2682926829268293
truncate,100,0,34,0,42,24,0.64,1.0,0.24
tsort,118,0,27,0,56,35,0.7097457627118644,1.0,0.2966101694915254
tty,93,0,30,0,40,23,0.6505376344086021,1.0,0.24731182795698925
uname,118,0,54,0,42,22,0.5677966101694916,1.0,0.1864406779661017
unexpand,104,0,34,0,45,25,0.6466346153846154,1.0,0.2403846153846154
uniq,143,0,55,0,52,36,0.6206293706293706,1.0,0.2517482517482518
unlink,93,0,26,0,41,26,0.6801075268817204,1.0,0.27956989247311825
uptime,126,1,26,0,60,39,0.7182539682539683,0.9920634920634921,0.30952380952380953
users,102,0,26,0,48,28,0.6911764705882353,1.0,0.27450980392156865
vdir,642,1,297,0,199,145,0.57398753894081,0.9984423676012462,0.22585669781931464
wc,176,16,40,0,73,47,0.6349431818181818,0.9090909090909091,0.26704545454545453
who,222,0,59,0,64,99,0.7286036036036037,1.0,0.44594594594594594
whoami,94,0,26,0,42,26,0.6808510638297872,1.0,0.2765957446808511
yes,98,0,26,0,44,28,0.6887755102040817,1.0,0.2857142857142857
