,Ground truth varnodes,Varnodes matched @ level NO_MATCH,Varnodes matched @ level OVERLAP,Varnodes matched @ level SUBSET,Varnodes matched @ level ALIGNED,Varnodes matched @ level MATCH,Varnode average compare score,Varnodes fraction partially recovered,Varnodes fraction exactly recovered
sync,751,333,69,0,61,288,0.4673768308921438,0.5565912117177098,0.38348868175765644
tac,12312,9213,179,0,744,2176,0.2256944444444444,0.2517056530214425,0.17673814165042234
tail,33975,516,113,0,32951,395,0.7398528329654157,0.984812362030905,0.011626195732155998
tee,8961,339,69,0,8261,292,0.7259234460439683,0.9621694007365249,0.03258564892311126
test,959,332,116,0,169,342,0.5190302398331595,0.6538060479666319,0.35662148070907196
timeout,1210,654,71,0,81,404,0.3987603305785124,0.45950413223140496,0.3338842975206612
touch,6684,1960,179,0,2744,1801,0.5840439856373429,0.7067624177139438,0.2694494314781568
tr,10057,9300,332,0,82,343,0.04847369991051,0.07527095555334593,0.03410559809088197
true,718,323,69,0,45,281,0.4623955431754875,0.5501392757660167,0.39136490250696376
truncate,801,358,85,0,60,298,0.4547440699126092,0.5530586766541823,0.37203495630461925
tsort,757,329,77,0,62,289,0.4686261558784676,0.5653896961690885,0.3817701453104359
tty,731,333,71,0,46,281,0.4558823529411764,0.5444596443228454,0.3844049247606019
uname,1155,365,69,0,48,673,0.6287878787878788,0.683982683982684,0.5826839826839827
unexpand,769,335,69,0,66,299,0.4756176853055917,0.5643693107932379,0.38881664499349805
uniq,818,356,72,0,84,306,0.4731051344743276,0.5647921760391198,0.3740831295843521
unlink,732,329,69,0,53,281,0.4617486338797814,0.5505464480874317,0.383879781420765
uptime,10247,360,104,0,191,9592,0.9525958817214796,0.964867766175466,0.9360788523470284
users,739,329,69,0,56,285,0.4658322056833558,0.5548037889039242,0.38565629228687415
vdir,38591,8808,167,0,15943,13673,0.6652328263066518,0.7717602549817315,0.35430540799668314
wc,33696,386,71,0,32838,401,0.7433300688509021,0.9885446343779677,0.011900522317188984
who,1345,421,106,0,154,664,0.5992565055762081,0.6869888475836431,0.49368029739776953
whoami,734,329,69,0,55,281,0.462534059945504,0.5517711171662125,0.38283378746594005
yes,742,329,69,0,59,285,0.4669811320754717,0.5566037735849056,0.38409703504043125
