,Ground truth varnodes,Varnodes matched @ level NO_MATCH,Varnodes matched @ level OVERLAP,Varnodes matched @ level SUBSET,Varnodes matched @ level ALIGNED,Varnodes matched @ level MATCH,"Varnode average comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
dirname,125,6,7,4,70,38,0.754,0.952,0.304
du,1499,30,56,34,824,555,0.8032021347565044,0.9799866577718479,0.37024683122081387
echo,118,4,7,4,68,35,0.760593220338983,0.9661016949152542,0.2966101694915254
env,201,9,12,5,97,78,0.777363184079602,0.9552238805970149,0.3880597014925373
expand,152,6,8,5,87,46,0.7615131578947368,0.9605263157894737,0.3026315789473684
expr,911,15,38,27,489,342,0.8032381997804611,0.9835345773874863,0.3754116355653128
factor,511,31,27,24,187,242,0.7847358121330724,0.9393346379647749,0.4735812133072407
false,109,4,7,4,63,31,0.7522935779816514,0.963302752293578,0.28440366972477066
fmt,186,6,8,4,107,61,0.7809139784946236,0.967741935483871,0.3279569892473118
fold,143,6,8,4,75,50,0.7709790209790209,0.958041958041958,0.34965034965034963
groups,142,6,7,4,77,48,0.7711267605633803,0.9577464788732394,0.3380281690140845
head,215,5,15,6,113,76,0.7790697674418605,0.9767441860465116,0.35348837209302325
hostid,118,5,7,6,69,31,0.7415254237288136,0.9576271186440678,0.2627118644067797
id,196,8,8,4,99,77,0.7920918367346939,0.9591836734693877,0.39285714285714285
join,260,9,12,5,145,89,0.7817307692307692,0.9653846153846154,0.3423076923076923
kill,148,7,9,4,76,52,0.7652027027027027,0.9527027027027027,0.35135135135135137
link,117,5,7,6,68,31,0.7414529914529915,0.9572649572649573,0.26495726495726496
ln,433,8,17,16,230,162,0.8008083140877598,0.9815242494226328,0.3741339491916859
logname,118,5,7,6,69,31,0.7415254237288136,0.9576271186440678,0.2627118644067797
ls,1031,30,56,28,544,373,0.7846750727449079,0.9709020368574199,0.3617846750727449
md5sum,217,7,13,4,117,76,0.7788018433179723,0.967741935483871,0.35023041474654376
mkdir,306,7,15,10,146,128,0.8047385620915033,0.9771241830065359,0.41830065359477125
mkfifo,148,6,9,5,83,45,0.7567567567567568,0.9594594594594594,0.30405405405405406
mknod,165,6,9,5,86,59,0.7772727272727272,0.9636363636363636,0.3575757575757576
mktemp,164,6,8,5,91,54,0.7728658536585366,0.9634146341463414,0.32926829268292684
mv,773,15,37,26,427,268,0.7897800776196636,0.9805950840879689,0.34670116429495473
nice,130,5,7,4,70,44,0.7711538461538462,0.9615384615384616,0.3384615384615385
nl,896,23,39,17,468,349,0.8016183035714286,0.9743303571428571,0.38950892857142855
nohup,162,5,8,6,102,41,0.7561728395061729,0.9691358024691358,0.25308641975308643
nproc,139,5,7,4,74,49,0.7787769784172662,0.9640287769784173,0.35251798561151076
numfmt,291,9,13,9,139,121,0.8006872852233677,0.9690721649484536,0.41580756013745707
od,459,11,27,12,205,204,0.8071895424836601,0.9760348583877996,0.4444444444444444
paste,142,5,7,4,82,44,0.7693661971830986,0.9647887323943662,0.30985915492957744
pathchk,141,6,8,4,84,39,0.75177304964539,0.9574468085106383,0.2765957446808511
pinky,182,8,12,5,106,51,0.7472527472527473,0.9560439560439561,0.2802197802197802
pr,543,12,18,10,324,179,0.7946593001841621,0.9779005524861878,0.3296500920810313
printenv,119,5,7,4,65,38,0.7605042016806722,0.957983193277311,0.31932773109243695
printf,283,6,18,8,133,118,0.799469964664311,0.9787985865724381,0.4169611307420495
ptx,1126,19,56,32,575,444,0.8039520426287744,0.9831261101243339,0.39431616341030196
pwd,143,5,8,9,84,37,0.7447552447552448,0.965034965034965,0.25874125874125875
readlink,243,6,10,7,134,86,0.7921810699588477,0.9753086419753086,0.35390946502057613
realpath,248,6,10,7,135,90,0.7953629032258065,0.9758064516129032,0.3629032258064516
rm,362,9,15,9,218,111,0.7810773480662984,0.9751381215469613,0.30662983425414364
rmdir,234,6,10,7,112,99,0.8076923076923077,0.9743589743589743,0.4230769230769231
runcon,121,5,7,4,72,33,0.75,0.9586776859504132,0.2727272727272727
seq,279,8,21,8,121,121,0.7921146953405018,0.9713261648745519,0.4336917562724014
sha1sum,215,7,10,5,113,80,0.7895348837209303,0.9674418604651163,0.37209302325581395
sha224sum,225,8,13,5,116,83,0.7811111111111111,0.9644444444444444,0.3688888888888889
sha256sum,225,8,13,5,116,83,0.7811111111111111,0.9644444444444444,0.3688888888888889
sha384sum,381,8,8,5,275,85,0.776246719160105,0.979002624671916,0.2230971128608924
sha512sum,381,8,8,5,275,85,0.776246719160105,0.979002624671916,0.2230971128608924
shred,370,9,21,8,200,132,0.7871621621621622,0.9756756756756757,0.3567567567567568
shuf,374,6,9,6,215,138,0.8141711229946524,0.983957219251337,0.3689839572192513
sleep,143,5,9,6,77,46,0.7622377622377622,0.965034965034965,0.32167832167832167
sort,847,22,38,18,460,309,0.793978748524203,0.974025974025974,0.36481700118063753
split,297,9,14,5,153,116,0.7971380471380471,0.9696969696969697,0.39057239057239057
stat,608,20,22,20,313,233,0.7948190789473685,0.9671052631578947,0.3832236842105263
stdbuf,267,7,10,9,125,116,0.8117977528089888,0.9737827715355806,0.4344569288389513
stty,301,8,16,10,132,135,0.8073089700996677,0.973421926910299,0.4485049833887043
sum,278,8,13,7,136,114,0.8012589928057554,0.9712230215827338,0.41007194244604317
sync,133,5,8,4,78,38,0.7556390977443609,0.9624060150375939,0.2857142857142857
tac,920,17,39,18,500,346,0.8040760869565218,0.9815217391304348,0.3760869565217391
tail,423,7,25,11,215,165,0.7990543735224587,0.983451536643026,0.3900709219858156
tee,154,6,9,5,90,44,0.7548701298701299,0.961038961038961,0.2857142857142857
test,260,4,19,9,125,103,0.7923076923076923,0.9846153846153847,0.39615384615384613
timeout,175,6,10,4,86,69,0.7885714285714286,0.9657142857142857,0.3942857142857143
touch,602,25,37,36,298,206,0.7587209302325582,0.9584717607973422,0.34219269102990035
tr,241,9,9,6,114,103,0.803941908713693,0.9626556016597511,0.42738589211618255
true,109,4,7,4,63,31,0.7522935779816514,0.963302752293578,0.28440366972477066
truncate,145,5,8,5,80,47,0.7689655172413793,0.9655172413793104,0.32413793103448274
tsort,162,5,10,6,93,48,0.7608024691358025,0.9691358024691358,0.2962962962962963
tty,114,5,7,4,66,32,0.7478070175438597,0.956140350877193,0.2807017543859649
uname,120,6,7,5,68,34,0.74375,0.95,0.2833333333333333
unexpand,158,5,7,5,89,52,0.7784810126582279,0.9683544303797469,0.3291139240506329
uniq,202,7,10,6,112,67,0.7747524752475248,0.9653465346534653,0.3316831683168317
unlink,117,5,7,6,68,31,0.7414529914529915,0.9572649572649573,0.26495726495726496
uptime,353,11,12,12,210,108,0.7776203966005666,0.9688385269121813,0.3059490084985836
users,133,5,7,6,78,37,0.7537593984962406,0.9624060150375939,0.2781954887218045
vdir,1031,30,56,28,544,373,0.7846750727449079,0.9709020368574199,0.3617846750727449
wc,268,8,8,8,148,96,0.7947761194029851,0.9701492537313433,0.3582089552238806
who,282,10,10,8,138,116,0.8014184397163121,0.9645390070921985,0.41134751773049644
whoami,120,5,7,6,71,31,0.7416666666666667,0.9583333333333334,0.25833333333333336
yes,132,5,7,6,77,37,0.7537878787878788,0.9621212121212122,0.2803030303030303
